Datenum,Smoothed S,Smoothed U,Smoothed V
10-Sep-2020,161.357726882201,-152.119440072347,48.1370346008435
11-Sep-2020,157.941553209399,-149.042856595644,46.4440230763857
12-Sep-2020,155.024926362226,-146.498555489653,44.7527142581018
13-Sep-2020,152.712618704375,-144.579951140998,43.10481475576
14-Sep-2020,150.942512577349,-143.233067654983,41.4749632974313
15-Sep-2020,149.685834070133,-142.427882564083,39.864857736302
16-Sep-2020,148.897958142382,-142.119862358323,38.27049032169
17-Sep-2020,148.491360327028,-142.211537958232,36.6364498786874
18-Sep-2020,148.325776065926,-142.545920969348,34.9960991325329
19-Sep-2020,148.508118271947,-143.113990494879,33.7936433338256
20-Sep-2020,149.004148944623,-143.951830688117,32.716939612834
21-Sep-2020,149.722552670023,-144.964528167162,31.8004330356337
22-Sep-2020,150.617341106332,-146.095272486044,31.0763555040604
23-Sep-2020,151.379619355489,-147.030771740512,30.559181287628
24-Sep-2020,152.040082570098,-147.773494352148,30.3290265790753
25-Sep-2020,152.643667684107,-148.355313711843,30.431179596866
26-Sep-2020,153.176834483079,-148.790501539341,30.7428413645451
27-Sep-2020,153.601304417595,-149.051477700183,31.2300380595096
28-Sep-2020,153.87057632484,-149.103374234854,31.8544759373902
29-Sep-2020,154.150949175104,-149.150197451136,32.5091293766287
30-Sep-2020,154.494166860877,-149.272219910536,33.1179776150261
01-Oct-2020,154.777201977204,-149.396365435589,33.5340527120275
02-Oct-2020,155.199902075041,-149.679764154929,33.9057662337558
03-Oct-2020,155.78685080879,-150.147039301443,34.2487037626663
04-Oct-2020,156.556385101959,-150.817518984959,34.5734738755515
05-Oct-2020,157.701844560334,-151.86179072789,35.0620046284937
06-Oct-2020,159.175802735063,-153.258356391519,35.5605504547296
07-Oct-2020,160.954003985758,-154.989812884168,36.004235514867
08-Oct-2020,163.046924329784,-157.048384302143,36.4419262068855
09-Oct-2020,165.416849850614,-159.387136797145,36.9043276783554
10-Oct-2020,168.026246014464,-161.960746537798,37.415689615282
11-Oct-2020,170.795237718225,-164.625528343964,38.2647667101114
12-Oct-2020,173.610253338048,-167.264893612395,39.439040301149
13-Oct-2020,176.277105717942,-169.780194749122,40.4668935382473
14-Oct-2020,178.859381100898,-172.159391324763,41.6770049368042
15-Oct-2020,181.271763239306,-174.314521174532,43.0688308977359
16-Oct-2020,183.432777920778,-176.161509707722,44.6419018589614
17-Oct-2020,185.35799788241,-177.693664592512,46.4491389873516
18-Oct-2020,186.977199932166,-178.869673438238,48.3647579863336
19-Oct-2020,188.209365019185,-179.63113387162,50.2805947644931
20-Oct-2020,189.120527336373,-179.999262312155,52.3612189240326
21-Oct-2020,189.5372316452,-179.844091110477,54.4970286156557
22-Oct-2020,189.458781929613,-179.195271420452,56.5704236190129
23-Oct-2020,188.906857926305,-178.108095696955,58.4879785871019
24-Oct-2020,187.946087351156,-176.684142889242,60.12116346731
25-Oct-2020,186.982576191372,-175.315907038889,61.5013084641448
26-Oct-2020,185.921673715495,-173.950091700131,62.5587979849106
27-Oct-2020,184.83480598448,-172.666389621871,63.2648672164895
28-Oct-2020,183.800681634156,-171.550233508142,63.5994824314535
29-Oct-2020,182.746636865465,-170.567791725576,63.293004139724
30-Oct-2020,181.731737736545,-169.753234916078,62.4498798729124
31-Oct-2020,180.802717809198,-169.11167428507,61.2535514259157
01-Nov-2020,179.995828175217,-168.657559694465,59.8246636556591
02-Nov-2020,179.368718667987,-168.423605099168,58.2776085548949
03-Nov-2020,178.978323010111,-168.440768590984,56.7303842858146
04-Nov-2020,178.753493433034,-168.656779126594,55.0573745281199
05-Nov-2020,178.70489882391,-169.070404479857,53.2967681134013
06-Nov-2020,178.924330436976,-169.701955770192,51.7875224567814
07-Nov-2020,179.344729212964,-170.494973132234,50.4711671629101
08-Nov-2020,179.927208845107,-171.394983124552,49.3987944598833
09-Nov-2020,180.631234620332,-172.345341591164,48.6232886419916
10-Nov-2020,181.414623419263,-173.287233661538,48.1993260697208
11-Nov-2020,182.213558865943,-174.104418811393,48.3064190745402
12-Nov-2020,182.997568626636,-174.762796905802,48.9601887562122
13-Nov-2020,183.593099088472,-175.20943942766,49.7881074513047
14-Nov-2020,184.115160277108,-175.558360104229,50.7141361853926
15-Nov-2020,184.54352524452,-175.801545957872,51.6839070788988
16-Nov-2020,184.96068717814,-176.053535937103,52.5598523802407
17-Nov-2020,185.382686406019,-176.347900369397,53.2707402015936
18-Nov-2020,185.670451768014,-176.600563792792,53.7174369730614
19-Nov-2020,185.867664031265,-176.802235259578,53.9443650426308
20-Nov-2020,185.964093673407,-176.950845057606,53.90013655355
21-Nov-2020,185.947691073732,-177.043687335716,53.5276709393672
22-Nov-2020,185.951110503768,-177.175446086189,53.0424486234336
23-Nov-2020,185.951391019788,-177.307069652072,52.5044281528053
24-Nov-2020,185.954720907477,-177.431320061541,51.9642450750324
25-Nov-2020,185.97189621766,-177.579626751697,51.3611810362298
26-Nov-2020,186.057534989583,-177.790467799499,50.7529060202915
27-Nov-2020,186.223937592064,-178.064302514362,50.1978561248883
28-Nov-2020,186.476900374053,-178.382781097604,49.8052818379744
29-Nov-2020,186.838395733032,-178.762882184198,49.6078257176746
30-Nov-2020,187.177326695656,-179.070883064685,49.5651607631142
01-Dec-2020,187.507468578815,-179.335082236832,49.647809104892
02-Dec-2020,187.847192124263,-179.561812943736,49.9249369381694
03-Dec-2020,188.191256133496,-179.741475005768,50.4120953099234
04-Dec-2020,188.525878461572,-179.844603632026,51.1742056674053
05-Dec-2020,188.86777772863,-179.966288564457,51.9381858338249
06-Dec-2020,189.197776538459,-180.13460147468,52.5296728289802
07-Dec-2020,189.526661871794,-180.312577141864,53.0689897291223
08-Dec-2020,189.835125344657,-180.493174843485,53.5377391628243
09-Dec-2020,190.124532607393,-180.702698080508,53.8750567576436
10-Dec-2020,190.377002112508,-180.927292757374,54.0892983503223
11-Dec-2020,190.587818539161,-181.170173469627,54.1504246922615
12-Dec-2020,190.862421709341,-181.471302121907,54.1922470901963
13-Dec-2020,191.132026369416,-181.836047789615,54.022939784094
14-Dec-2020,191.468514610746,-182.298599704194,53.7699400691795
15-Dec-2020,191.85819371501,-182.842556866615,53.4351341158865
16-Dec-2020,192.172680007322,-183.326963197912,53.0340758215883
17-Dec-2020,192.455551230188,-183.810750034728,52.5072756113122
18-Dec-2020,192.712047204369,-184.308418457121,51.822406307289
19-Dec-2020,192.955351760083,-184.79295045937,51.1133606557191
20-Dec-2020,193.137352570774,-185.206854290897,50.4246224335689
21-Dec-2020,193.24487661365,-185.523737595008,49.8025174222033
22-Dec-2020,193.288957711615,-185.750901836387,49.2819489132987
23-Dec-2020,193.258176445839,-185.876927184096,48.8408108349104
24-Dec-2020,193.169925585342,-185.960581128605,48.3381861206469
25-Dec-2020,193.051408025067,-185.995560147344,47.8880916269255
26-Dec-2020,192.905785274083,-185.979906751198,47.4858518107879
27-Dec-2020,192.745859009247,-185.918995164913,47.1592624245786
28-Dec-2020,192.593714816237,-185.855036694698,46.8090384536501
29-Dec-2020,192.462128129478,-185.781224711632,46.5221597370178
30-Dec-2020,192.388655136554,-185.694194608516,46.449215433739
31-Dec-2020,192.362714734291,-185.613645205844,46.5152448980891
01-Jan-2021,192.393258072586,-185.567104880051,46.6707212636605
02-Jan-2021,192.524517172501,-185.56303972358,47.0304223539074
03-Jan-2021,192.697370240654,-185.593174316073,47.385960519546
04-Jan-2021,192.888811636088,-185.659901992413,47.6443415752874
05-Jan-2021,193.072276530685,-185.754511123753,47.7672760680907
06-Jan-2021,193.317654144212,-185.916524652708,47.85772444199
07-Jan-2021,193.532962925823,-186.064346939626,47.8835375506879
08-Jan-2021,193.700349795319,-186.183033624987,47.8378303512501
09-Jan-2021,193.877863143736,-186.33816688188,47.7262578706669
10-Jan-2021,194.04953552108,-186.493219351734,47.6122927731908
11-Jan-2021,194.206473267916,-186.643247176745,47.4904014155749
12-Jan-2021,194.339575017383,-186.782719539145,47.3565813033955
13-Jan-2021,194.439531695196,-186.905518661202,47.2083610910518
14-Jan-2021,194.488208901907,-186.998401771118,47.0448260739681
15-Jan-2021,194.431013982452,-187.052875070986,46.6219250933434
16-Jan-2021,194.275416055561,-187.073892708981,45.9460959369913
17-Jan-2021,194.11694749466,-187.114318379798,45.1952316360219
18-Jan-2021,194.004784800905,-187.184138541876,44.5186355190571
19-Jan-2021,193.953503408089,-187.285268148096,43.9635256534336
20-Jan-2021,193.978679966914,-187.420273054531,43.5770638838668
21-Jan-2021,194.155384956926,-187.646285868168,43.4908723182006
22-Jan-2021,194.420057535288,-187.877424848356,43.7544344737908
23-Jan-2021,194.658911470485,-188.050058933286,44.1556356590348
24-Jan-2021,194.912246982849,-188.209210913074,44.6539440959023
