,Q,RAIN,T2,G,surfM,N,LWin,LWout,H,LE,B,QRR,ME,U2,EVAPORATION,SUBLIMATION,CONDENSATION,DEPOSITION,RH2,date
2022-08-08 13:00:00,0.0019694928725028935,0.2136777328391428,2.9840475643382547,303.8,2.187384541839631,0.8499999999999998,312.8,-307.75162129969766,21.21817821728755,0.0030811183451897174,0.05844555965900109,0.6854300380745315,153.3943136336686,3.299999999999999,-8.516026169232455e-07,-2.7126147979139657e-07,1.1425541313376255e-06,1.8513858057710185e-08,82.0999984741211,2022-08-08 13:00:00
2022-08-08 14:00:00,0.0017533722265875586,0.2509363246621395,2.6540609920726297,253.59999999999994,1.870862474665575,0.8599999999999998,312.6,-307.79030792954916,17.099190101220106,3.0832987022514677,0.0012065412229167992,0.70664140368014,131.1976288188255,3.05,-1.0794703912859808e-09,0.0,4.439265654409548e-06,1.5560578897774392e-09,86.9000015258789,2022-08-08 14:00:00
2022-08-08 15:00:00,0.00203218770643132,0.2248147124776451,2.6540609920726297,319.2,2.2285303447879197,0.84,310.4,-307.79112341293614,16.702052835491706,3.548569928741095,0.0,0.6330384414230399,156.27973779271966,3.0,0.0,0.0,5.109940697387177e-06,0.0,87.4000015258789,2022-08-08 15:00:00
2022-08-08 16:00:00,0.0017643458163830368,0.20628865535731433,2.7040487850413797,266.90000000000003,1.9208175749621061,0.8300000000000001,309.9,-307.79112341293614,16.730464565238726,4.2383154504713705,0.0,0.592764350728951,134.70082095350287,2.9699999999999998,0.0,0.0,6.1031742486787724e-06,0.0,87.80000305175781,2022-08-08 16:00:00
2022-08-08 17:00:00,0.0016359976429877027,0.0,3.0540548885570047,318.8,1.9923932966107802,0.62,291.3,-307.7754440550948,21.706688426877815,1.8449555643858249,0.023198490807046775,0.0,139.72019842697586,3.310000000000001,-1.5042950258168502e-07,-2.175535747871012e-08,2.816386340434265e-06,1.3621249206840117e-08,83.19999694824219,2022-08-08 17:00:00
2022-08-08 18:00:00,0.0008837861888457165,0.0,2.8440634334788797,153.5,1.0948330441142704,0.7400000000000001,302.3,-307.79071040960605,15.71869182834625,2.692563142250224,0.0006110479299797195,0.0,76.77715560892044,2.770000000000001,-3.135425487548083e-10,-3.291267878227567e-11,3.8348261921314505e-06,3.7769570457211016e-08,85.80000305175781,2022-08-08 18:00:00
2022-08-08 19:00:00,0.0006555812858576105,0.0,2.6540609920726297,83.9,0.8286713355556494,0.8200000000000001,308.9,-307.79112341293614,17.57040863853168,4.530397178785718,0.0,0.0,58.112082404381226,3.11,0.0,0.0,6.523771937451432e-06,0.0,88.0999984741211,2022-08-08 19:00:00
2022-08-08 20:00:00,0.000632018869913085,0.1927800674765,2.7640768612132547,31.6,0.568526645924375,0.8800000000000002,315.0,-307.79112341293614,15.447271557776146,3.5034757661487785,-0.003572942894215311,0.5673126118880562,39.86896357998262,2.7800000000000007,0.0,0.0,5.045005103254241e-06,0.0,87.0999984741211,2022-08-08 20:00:00
2022-08-08 21:00:00,0.0006903300425160351,0.2758922616447023,2.5440756405101297,14.599999999999996,0.5351716407119489,0.9199999999999999,317.7,-307.79112341293614,14.66513614901778,6.514625098650474,-0.37430689577343645,0.7419523225242753,37.52988326148294,2.8099999999999996,0.0,0.0,9.381060142056685e-06,0.0,91.4000015258789,2022-08-08 21:00:00
2022-08-08 22:00:00,0.0007154639288290295,0.3539056797089814,2.3340536678538797,0.9000000000000002,0.4713490792187186,0.9399999999999995,318.7,-307.79112341293074,12.565283420968958,8.979008002655185,-0.6400726851552265,0.8667148993405349,33.054210224878645,2.6599999999999993,0.0,0.0,5.2853245405177376e-06,6.743513570312042e-06,95.19999694824219,2022-08-08 22:00:00
2022-08-08 23:00:00,0.0006951296059735404,0.3703888562377846,2.1740500057445047,0.0,0.4216671036678632,0.9399999999999995,317.6,-307.79112341293194,10.46680910232074,9.366117374881822,-0.9114447663324386,0.8398131610913985,29.570171459029623,2.45,0.0,0.0,6.02033880010707e-06,6.586865049155568e-06,97.80000305175781,2022-08-08 23:00:00
2022-08-09 00:00:00,0.0006632713440316673,0.3851205148904765,2.1140524471507547,0.0,0.36170516454513124,0.9600000000000003,319.2,-307.79112341293416,6.986637281216315,7.27259352819306,-1.1500059326629601,0.8471301138466673,25.365231577658903,1.9499999999999995,0.0,0.0,4.753123513729427e-06,5.045352123207993e-06,99.5999984741211,2022-08-09 00:00:00
2022-08-09 01:00:00,0.0006517417048638462,0.3848420588629007,2.2040487850413797,0.0,0.3473787014851527,0.9499999999999997,318.7,-307.7911234129344,6.683047942347767,7.243050469054277,-1.3600601079252235,0.8856474459069021,24.36056233644936,1.879999999999999,0.0,0.0,4.330710638018237e-06,5.380453455733878e-06,100.0,2022-08-09 01:00:00
2022-08-09 02:00:00,0.0005920518492064116,0.3474654113467106,2.0540548885570047,0.0,0.31820405827196013,0.9499999999999997,318.3,-307.79112341293427,6.074668351275233,6.537217019654231,-1.5469668507189436,0.740842388069922,22.314637495346158,1.8299999999999994,0.0,0.0,4.069387011658494e-06,4.714366175585392e-06,100.0,2022-08-09 02:00:00
